Relatório de palavras-chave da rede de pesquisa
Todo o período
Ação de conversão,Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,URL final,Código da moeda,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Cliques,Taxa de conv.,Conversões,CPC méd.,Custo / conv.
V4 - Envio de Formulário,Ativado,"""kitchen remodel fort myers""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Não qualificado,campanha pausada; grupo de anúncios pausado; baixa qualidade,,USD,0,0,0, --,0,0,0, --,"0,50",0,0
Envio de Formulário - Site,Ativado,"""kitchen remodel Naples""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Não qualificado,campanha pausada; grupo de anúncios pausado; baixa qualidade,,USD,0,0,0, --,0,0,0, --,"4,00",0,0
Envio de Formulário - Site,Ativado,"""Kitchen Remodel""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Não qualificado,campanha pausada; grupo de anúncios pausado; baixa qualidade,,USD,0,0,0, --,0,0,0, --,"6,00",0,0
Agendamento | Site,Ativado,"""Kitchen Remodel""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Não qualificado,campanha pausada; grupo de anúncios pausado; baixa qualidade,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
V4 - Envio de Formulário,Ativado,"""Kitchen Remodel""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Não qualificado,campanha pausada; grupo de anúncios pausado; baixa qualidade,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
Sessão 45seg,Ativado,"""Kitchen Remodel""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Não qualificado,campanha pausada; grupo de anúncios pausado; baixa qualidade,,USD,0,0,0, --,0,0,0, --,"17,00",0,0
Sessão 40seg,Ativado,"""Kitchen Remodel""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Não qualificado,campanha pausada; grupo de anúncios pausado; baixa qualidade,,USD,0,0,0, --,0,0,0, --,"14,00",0,0
Sessão 35seg,Ativado,"""Kitchen Remodel""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Não qualificado,campanha pausada; grupo de anúncios pausado; baixa qualidade,,USD,0,0,0, --,0,0,0, --,"12,00",0,0
Envio de Formulário - Site,Pausado,"""remodeling contractor near me""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Pausado,campanha pausada; grupo de anúncios pausado; pausado,,USD,0,0,0, --,0,0,0, --,"2,00",0,0
Calls from ads,Ativado,"""kitchen remodel company""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Não qualificado,campanha pausada; grupo de anúncios pausado; baixa qualidade,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
Envio de Formulário - Site,Ativado,"""kitchen remodel company""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Não qualificado,campanha pausada; grupo de anúncios pausado; baixa qualidade,,USD,0,0,0, --,0,0,0, --,"3,00",0,0
Agendamento | Site,Ativado,"""kitchen remodel company""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Não qualificado,campanha pausada; grupo de anúncios pausado; baixa qualidade,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
V4 - Envio de Formulário,Ativado,"""kitchen remodel company""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Não qualificado,campanha pausada; grupo de anúncios pausado; baixa qualidade,,USD,0,0,0, --,0,0,0, --,"2,50",0,0
Sessão 45seg,Ativado,"""kitchen remodel company""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Não qualificado,campanha pausada; grupo de anúncios pausado; baixa qualidade,,USD,0,0,0, --,0,0,0, --,"3,00",0,0
Sessão 40seg,Ativado,"""kitchen remodel company""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Não qualificado,campanha pausada; grupo de anúncios pausado; baixa qualidade,,USD,0,0,0, --,0,0,0, --,"3,00",0,0
Sessão 35seg,Ativado,"""kitchen remodel company""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Não qualificado,campanha pausada; grupo de anúncios pausado; baixa qualidade,,USD,0,0,0, --,0,0,0, --,"3,00",0,0
Calls from ads,Pausado,"""remodeling contractors""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Pausado,campanha pausada; grupo de anúncios pausado; pausado,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
Agendamento | Site,Pausado,"""remodeling contractors""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Pausado,campanha pausada; grupo de anúncios pausado; pausado,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
V4 - Envio de Formulário,Pausado,"""remodeling contractors""",Correspondência de frase,[V4] Search | Leads | Kitchen,Kitchen Remodeling,Pausado,campanha pausada; grupo de anúncios pausado; pausado,,USD,0,0,0, --,0,0,0, --,"2,00",0,0
Clique no Botão de Ligação,Pausado,"""home remodeling near me""",Correspondência de frase,Leads-Search-5,Ad group 1,Pausado,campanha pausada; grupo de anúncios pausado; pausado,,USD,0,0,0, --,0,0,0, --,"2,00",0,0
Clique no Botão de Ligação,Pausado,"""in house renovations""",Correspondência de frase,Leads-Search-5,Ad group 1,Pausado,campanha pausada; grupo de anúncios pausado; pausado,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
Clique no Botão de Ligação,Pausado,bathroom renovation cost,Correspondência ampla,Leads-Search-5,Ad group 1,Pausado,campanha pausada; grupo de anúncios pausado; pausado,,USD,0,0,0, --,0,0,0, --,"2,00",0,0
Calls from ads,Pausado,home renovation contractors,Correspondência ampla,Leads-Search-5,Ad group 1,Pausado,campanha pausada; grupo de anúncios pausado; pausado,,USD,0,0,0, --,0,0,0, --,"6,00",0,0
Clique no Botão de Ligação,Pausado,home renovation contractors,Correspondência ampla,Leads-Search-5,Ad group 1,Pausado,campanha pausada; grupo de anúncios pausado; pausado,,USD,0,0,0, --,0,0,0, --,"6,00",0,0
Clique no Botão de Ligação,Pausado,residential remodeling companies,Correspondência ampla,Leads-Search-5,Ad group 1,Pausado,campanha pausada; grupo de anúncios pausado; pausado,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
Calls from ads,Pausado,basement renovations,Correspondência ampla,Leads-Search-5,Ad group 1,Pausado,campanha pausada; grupo de anúncios pausado; pausado,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
Calls from ads,Pausado,contracting,Correspondência ampla,Leads-Search-Mike,Ad group 1,Pausado,campanha pausada; grupo de anúncios pausado; pausado,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
Calls from ads,Pausado,home renovation,Correspondência ampla,Leads-Search-Mike,Ad group 1,Pausado,campanha pausada; grupo de anúncios pausado; pausado,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
Calls from ads,Ativado,remodeling,Correspondência ampla,KITCHEN AND BATHROOMS,Ad group 1,Não qualificado,campanha removida; campanha finalizada,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
 --, --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,,USD,0,0,0, --,0,0,0, --,"140,00",0,0
 --, --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,,USD,0,0,0, --,0,0,0, --,0,0,0
